title,ingredients,directions,NER,valid ingredient count,carbon
Sausage Casserole,"['1 to 2 lb. browned pork sausage, drained', '1 1/2 to 2 c. boiled white instant rice', '1 bag boiled broccoli']","['Cook all ingredients at the same time individually.', 'In a casserole dish, layer sausage, rice and broccoli.', 'Top off with Velveeta cheese.', 'Microwave until cheese melts.']","['rice', 'pork sausage', 'broccoli']",3,0
Double Lemon Pie,"['2 small cans flaked coconut', '3 Tbsp. butter, melted']","['Preheat oven to 325°.', 'Combine coconut and melted butter in large bowl.', 'Press mixture on bottom and sides of 9-inch pie plate. Bake in oven about 20 minutes or until golden brown.']","['butter', 'coconut']",2,0
Citrus Roast Chicken,"['1 roasting chicken', '1 lemon, quartered', '1 orange, quartered', '1 onion, quartered', '3 large cloves garlic, sliced', 'salt and pepper to taste']","['Clean roasting chicken, removing insides.', 'Salt and pepper (I use lemon pepper).', 'Stuff the bird with the lemon, orange, onion and garlic.', 'Bake at 450° for 1 1/2 hours.', 'If bird starts to get too brown, you can cover it with foil.']","['onion', 'orange', 'lemon', 'garlic', 'chicken', 'salt']",6,0
Chicken And Rice,"['chicken', 'rice', 'onion', 'minced garlic', 'salt']","['Boil chicken with skin on until done when it is done remove from broth and take off bone.', 'Cut up onion put into broth.', 'Add minced garlic; cook for 5 minutes.', 'Add rice and', 'cook until done. Add the chicken to the ingredients add salt to taste.', 'Serve with pears or bread.']","['onion', 'rice', 'garlic', 'chicken', 'salt']",5,0
Aunt Lee'S Punch,"['1 qt. milk', '2 c. sugar', '1 small can frozen orange juice']","['Pour milk in bowl.', 'Pour thawed orange juice into milk and beat.', 'Gradually add sugar.', 'Freeze.', 'When you thaw punch, add 2 quarts ginger ale.']","['sugar', 'orange juice', 'milk']",3,0
Bite-Sized Stuffies,"['1 loaf bread dough, thawed', '36 cubes ham, cheese, shrimp, etc.']","['Let dough rise slightly.', 'Divide into thirds, then divide each third into 12 pieces.', 'Shape each piece around the meat or cheese and seal well.', 'Place on greased cookie sheet.', 'Cover; let rise in warm place until doubled in size, 30 to 60 minutes.', 'Bake at 400° for 10 to 12 minutes.']","['shrimp', 'bread']",2,0
"""I Can'T Cook"" Chicken","['1 whole frying chicken', 'garlic salt', 'pepper']","['Preheat oven to 450°.', 'Remove excess fat from chicken.', 'Cut chicken in half from one side of breast to opposite side of back. Fold up wings and place bone side down on broiler (save inerds and cook separately or discard or cook on end of broiling pan). Sprinkle to taste with garlic salt and pepper.', 'Put on rack in middle of oven; cook for 15 to 20 minutes (until nice golden brown).', 'Reduce heat to 350° and cook 45 minutes to 1 hour.']","['garlic', 'chicken', 'pepper']",3,0
Toasted Cheese With Bacon Please,"['12 slices bacon, already lightly fried and drained', '6 pineapple rings', '12 slices white American cheese', '6 slices bread']","['Spread both sides of bread with margarine or butter.', 'Place on ungreased cookie sheet.', 'Put two slices of cheese on each piece of bread; top with one pineapple ring and 2 slices of bacon.', 'Bake at 325° for 5 to 10 minutes.', 'Yummy and quick!']","['bread', 'bacon', 'cheese', 'pineapple']",4,0
Shrimp Sauce,"['1 stick butter', 'juice of 1/2 lemon', '3 Tbsp. wine', ""1 Tbsp. Lawry's seasoned salt"", 'pinch of garlic powder']","['Combine all ingredients in large pan.', 'Saute approximately 1 pound of medium boiled shrimp for 5 minutes in shells.']","['lemon', 'wine', 'garlic', 'butter', 'salt']",5,0
Caramel Icing,"['1 can evaporated milk', '2 c. sugar', '3 tsp. butter', '1 tsp. vanilla']","['Combine all ingredients in a saucepan.', 'Boil until mixture thickens, stirring constantly.']","['vanilla', 'sugar', 'butter', 'milk']",4,0
Easy Hershey Fudge,"['4 1/2 c. sugar', '1 can evaporated milk', '1 1/2 lb. margarine', '2 large bars Hershey chocolate']","['Cook the first 3 ingredients until boiling; boil for 5 minutes.', 'Remove from heat; let cool for 10 seconds.', 'Add the chocolate bars.', 'Stir until mixed.', 'Pour into a 10 x 13-inch greased glass container.']","['margarine', 'sugar', 'chocolate', 'milk']",4,0
Cup Cookies,"['1 c. peanut butter', '1 c. sugar', '1 egg']","['Mix all ingredients together.', 'Drop by spoonfuls onto cookie sheet.', 'Press flat.', 'Bake at 325° for approximately eight minutes. Watch carefully for these goodies burn easily.']","['egg', 'peanut butter', 'sugar']",3,0
Toad-In-A-Hole,"['1 egg', '1 slice bread', 'butter']","['Melt a bit of butter in skillet.', 'Using the rim of a glass, press the center out of the slice of bread.', 'Reserve center circle. Put slice of bread in pan.', 'Crack egg into center hole of bread. Turn when egg is set.', 'Cook over low heat until egg is done. Season with salt and pepper.', 'Serve with bread hole covering egg center (Toad)!']","['bread', 'egg', 'butter']",3,0
Caramel Sheet Cake,['Duncan Hines butter cake mix'],"['Mix according to directions on box.', 'Prepare a 13 x 9-inch and a small square pan by greasing pans and sprinkling with powdered sugar.', 'Bake according to box directions.', 'Cool in pans and spread frosting on tops.']",['butter'],1,0
Willie'S Homemade Boiled Chicken And Rice,"['8 chicken thighs', 'salt and pepper', '2 c. rice']","['Boil chicken thighs for 1 hour and 45 minutes.', 'Stir in 2 cups rice.', 'Cook, covered, for 20 minutes longer.', 'Ready to serve.']","['rice', 'chicken', 'salt']",3,0
Peanut Butter Quickie,"['1 c. peanut butter', '1 c. sugar', '1 egg']","['Preheat oven to 350°.', 'Mix ingredients together and drop by spoonfuls onto greased cookie sheets.', 'Press with a fork (sugar coated).', 'Bake for 10 minutes.', 'Makes 1 dozen.']","['egg', 'peanut butter', 'sugar']",3,0
Oven Fries,"['5 oz. potato', '2 tsp. olive oil', 'garlic', 'salt', 'pepper']","['Cut potato into quarters lengthwise and dry with a paper towel.', 'Coat all over with the oil.', 'Sprinkle with salt, pepper and garlic powder.', 'Place in a nonstick pan or a Pam sprayed pan and bake at 450° for 20 minutes or until done.']","['pepper', 'potato', 'garlic', 'olive oil', 'salt']",5,0
Honey Butter,"['honey', 'butter, softened']","['Place butter in a bowl; add honey a little at a time, stirring until syrupy looking.', 'Great on fresh hot rolls.']","['butter', 'honey']",2,0
Orange Julius,"['1 6-oz can frozen orange juice concentrate', '1/2 c milk', '1 t vanilla extract', '1/4 c sugar']","['Combine all ingredients in blender with 1/2 cup water and enough ice cubes to fill container.', 'Process until liquified.']","['vanilla', 'sugar', 'orange juice', 'milk']",4,0
Orange Blossom Cream,"['2 Tbsp. sugar', '1 c. orange juice, chilled', '1 tall can evaporated milk, chilled']","['Dissolve sugar in orange juice.', 'Whip evaporated milk until stiff.', 'Combine with juice; mix well.', 'Serve immediately.']","['sugar', 'orange juice', 'milk']",3,0
Peanut Butter Candy,"['3 c. sugar', '1 1/2 c. milk', '1 tsp. vanilla', '3 Tbsp. peanut butter']","['Bring to a fast boil, then reduce heat to medium and cook about 20 minutes or until test for a hard ball.', 'Add vanilla and peanut butter.', 'Mix well.', 'Pour into buttered dish with 1-inch sides.', 'Let cool, then cut into squares.']","['sugar', 'vanilla', 'peanut butter', 'milk']",4,0
No Bake Cookies,"['2 c. sugar', '1 c. butter', '1/2 c. milk', '3 c. quick oatmeal', '1 c. coconut', '1/2 c. nuts', '1 tsp. vanilla']","['Combine and boil sugar, butter and milk 1 minute.', 'Stir in oatmeal, coconut, nuts and vanilla.', 'Drop by spoonfuls onto waxed paper.']","['sugar', 'vanilla', 'nuts', 'coconut', 'milk', 'oatmeal', 'butter']",7,0
Strawberry Preserves,['equal parts fresh berries and sugar'],"['Boil 10 minutes and remove from heat to cool dark place.', 'Let stand 3 days, stirring 3 or 4 times each day. Can cold in sterilized jars.', 'Seal.', 'The berries remain whole and the juice is thick.']",['sugar'],1,0
The Best And Easiest Peanut Butter Cookies,"['1 c. peanut butter', '1 c. sugar', '1 egg', '1 tsp. vanilla']","['Preheat oven to 350°.', 'Mix all ingredients well.', 'Roll into 1-inch balls and place on slightly greased cookie sheet.', 'Press each ball with fork.', 'Bake for 15 to 20 minutes or just until cookies start to turn brown.']","['vanilla', 'egg', 'peanut butter', 'sugar']",4,0
Cherry Delight,"['18 graham crackers, crushed', '2 Tbsp. sugar', '3/4 stick melted butter']",['Combine ingredients and put into a 9 x 13-inch cake pan.'],"['crackers', 'sugar', 'butter']",3,0
Batter Dip For Frying,"['1 egg', '1/2 tsp. salt', '1/2 c. milk']","['""How many ways can you eat peanut butter.', 'Let me count the ways.""']","['egg', 'milk', 'salt']",3,0
Tomato Slaw,"['1/2 lettuce', '1 whole tomato', '1 to 1 1/2 Tbsp. mayonnaise']","['Cut lettuce into small pieces.', 'Cut tomato into cube.', 'Add mayonnaise, mix well.', 'Chill until ready to eat.']","['tomato', 'lettuce', 'mayonnaise']",3,0
Never Fail Caramel Frosting,"['2 1/2 c. sugar', '1 c. milk', 'pinch of salt', '1 stick margarine', '1 tsp. vanilla']","['Bring to boil all ingredients, except 1/2 cup sugar and vanilla.', 'Brown', '1/2', 'cup', 'sugar while other ingredients boil. Add the', 'browned', 'sugar and cook until soft ball forms in cold water. Add vanilla and beat to desired consistency.']","['sugar', 'vanilla', 'margarine', 'milk', 'salt']",5,0
Jenna'S Grilled Cheese(Kindergarten Recipe)  ,"['2 pieces of bread', 'butter', '2 slices of cheese']","['Put the butter on the top of the bread.', 'Put the cheese inside and grill it on the stove.', 'Flip it over.', 'If the side is brown, then you are ready to eat it.']","['bread', 'cheese', 'butter']",3,0
Golden Fried Chicken,"['1 chicken, cut up and seasoned', '1 egg, beaten', '2 Tbsp. milk']","['Combine egg and milk.', 'Roll chicken in flour, then dip in egg batter.', 'Roll in flour again.', 'Fry in oil in skillet.']","['egg', 'chicken', 'milk']",3,0
Zucchini Scallop,"['2 c. zucchini, cooked', '2 c. saltine crackers, crumbled', '2 Tbsp. onion, minced', '1 c. cheese, cubed', '1 c. milk', '1 egg, beaten', '2 Tbsp. margarine, melted', 'pepper']","['Layer zucchini, crackers, onion and cheese in a 2 quart casserole.', 'Combine milk and egg.', 'Pour over zucchini mixture. Pour melted margarine over all.', 'Sprinkle with pepper.', 'Bake at 350° for 45 minutes.']","['egg', 'pepper', 'crackers', 'onion', 'cheese', 'margarine', 'milk', 'zucchini']",8,0
Instant Pizza,"['1 piece bread', '1 piece cheese', '1 tomato']","['Place piece of bread on a small pan.', 'Put on 1 sliced tomato first and then a slice of cheese.', 'Place in oven for 2 minutes. Great for afterschool snack.']","['bread', 'cheese', 'tomato']",3,0
Salmon Soup,"['1 can salmon', '1 can milk', '1 small onion, chopped', '1/4 c. butter']","['Combine in pot.', 'Bring to boil.', 'Serve warm with crackers.']","['butter', 'salmon', 'onion', 'milk']",4,0
Salmon Cakes,"['1 can salmon, bones picked out', '1 egg', '1 pinch salt', '5 crackers, crumbled']","['Mix all together.', 'Pat out in cakes.', 'Fry in butter or meat fryings.']","['salmon', 'egg', 'crackers', 'salt']",4,0
Grandpa Witzel'S Potato Pancakes,"['1 medium potato', '1 egg', 'salt to taste']","['Peel and grate potato, then stir in egg and salt.', 'Fry in a large skillet as one large pancake in a small amount of oil over medium heat, turning once.', ""The pancake should be rather dark or it won't be cooked through.""]","['egg', 'potato', 'salt']",3,0
Tomato Juice,"['tomatoes', 'salt']",['You will need quart canning jars.'],"['tomatoes', 'salt']",2,0
Rice Pudding,"['3 qt. milk', '9 Tbsp. rice', '2 1/4 c. sugar', '1/4 tsp. salt']","['Combine and bring to a slight boil.', 'Place in oven at 300° or 325°.', 'When skim forms on top, stir it down.', 'Continue until desired thickness.']","['rice', 'sugar', 'salt', 'milk']",4,0
Easy And Good Rice Pudding,"['1/2 c. uncooked rice', '1 qt. milk', '1/2 c. sugar', '1/4 tsp. salt', '1 tsp. vanilla']","['Mix and put in a deep baking dish.', 'Bake for about 1 1/2 hours at 350°.', 'Stir once or twice during baking.', 'I like to add a little cinnamon, nutmeg and raisins.']","['sugar', 'vanilla', 'milk', 'rice', 'salt']",5,0
Boiled Cookies (No Bake),"['2 c. sugar', '1 stick margarine', '1/2 c. evaporated milk', '2 1/2 c. oatmeal', '2 tsp. vanilla', '1/2 to 2/3 c. peanut butter']","['Mix the sugar and margarine in a saucepan; add milk.', 'Let it come to a full rolling boil.', 'Cook 2 minutes.', 'Remove from heat and add oatmeal, vanilla and peanut butter.', 'Mix and drop by spoonfuls (use teaspoon) on wax paper.', 'Use cookie sheet; let cool.']","['sugar', 'vanilla', 'peanut butter', 'margarine', 'milk', 'oatmeal']",6,0
How To Cook A Christmas Turkey,"['1/2 lb. turkey', '7 shakes salt', '10 lb. pepper']","['Cook 18 minutes in oven.', 'Serve with pretzel salad.', 'Put pretzel salad in oven for 19 minutes, then take out.']","['turkey', 'pepper', 'salt']",3,0
Peanut Butter Cookies,"['1 egg', '1 c. sugar', '1 c. peanut butter']","['Mix all together.', 'Roll into balls.', 'Put on a cookie sheet, press with a fork.', 'Bake at 350 for 10 to 12 minutes.']","['egg', 'sugar', 'peanut butter']",3,0
Honey Glazed Carrots,"[""1/4 c. Mother's margarine"", '1/4 c. honey', '1 lb. cooked carrots']","['Melt butter or margarine in skillet.', 'Blend in honey.', 'Add carrots, heating slowly.', 'Turn occasionally until carrots are nicely glazed.']","['carrots', 'margarine', 'honey']",3,0
Roge Can Ice Cream,"['1 c. milk', '1 c. cream', '1/3 c. sugar', 'vanilla to taste']","['Mix together all ingredients.', 'Pour into a 1 pound coffee can with snap lid.', 'Put 1 pound can into 2 pound can.', 'Add ice and salt.', 'Snap lid onto 2 pound can.', 'Roll can for 10 minutes and serve with favorite topping or just plain.']","['cream', 'sugar', 'vanilla', 'milk']",4,0
Fried Zucchini,"['2 to 3 slices bacon', '1/3 to 1/4 c. margarine', '1 small onion, diced', '2 to 3 sliced zucchini', '1 to 2 tomatoes, cut in chunks', 'salt and pepper to taste']","['Fry bacon that has been cut in small pieces.', 'Drain off grease.', 'Add margarine and melt.', 'Add onion and stir-fry until onion is half done.', 'Add zucchini and tomatoes.', 'Add salt and pepper and stir-fry rapidly, about 5 minutes.', 'Cook until done, but not mushy.']","['bacon', 'tomatoes', 'onion', 'margarine', 'zucchini', 'salt']",6,0
Madress Cooler,"['3 parts orange juice', '1 part cranberry juice']","['Fill tall glass with juice; top with a splash of lemon-lime soda.', 'Serve over ice with an orange slice.']","['orange juice', 'cranberry juice']",2,0
French Toast,"['1 egg', '1/3 c. milk', '1 tsp. butter', '4 slices bread']","['Beat egg until frothy.', 'Add milk; beat well.', 'Melt butter in skillet on low heat.', 'Dip bread slices, one at a time, into egg mixture.', 'Lift them into skillet with pancake turner.', 'Brown on each side.', 'Serve with confectioners sugar, maple syrup or cinnamon and sugar, if desired.']","['bread', 'egg', 'butter', 'milk']",4,0
Easy Cookies,"['1 can Eagle Brand milk', '1/2 c. peanut butter', '1 c. chopped nuts']",['Mix and drop on lightly greased and floured cookie sheet. Bake 7 to 9 minutes at 375° to 400°.'],"['nuts', 'peanut butter', 'milk']",3,0
Peanut Butter Play Dough(Play Dough You Can Eat.)  ,"['1 c. peanut butter', '1 1/2 c. instant powdered milk', '3 Tbsp. honey']","['Mix all ingredients until smooth.', 'Let kids make critters of their choice out of the mixture.', 'Decorate with peanuts, raisins, chocolate chips or coconut and eat.']","['peanut butter', 'honey', 'milk']",3,0
Nutrition Bombs,"['2 c. peanut butter', '1 c. honey', '1 c. oatmeal', '1 c. dry milk', '1 tsp. vanilla']","['Mix all ingredients together.', 'Mixture will be stiff.', 'Shape into balls.', 'Roll in sesame seed, coconut, chopped nuts, etc.']","['vanilla', 'peanut butter', 'milk', 'oatmeal', 'honey']",5,0
Favorite Cheesy Grill,"['2 slices bread', '2 slices processed cheese', '2 tsp. margarine']","['Top 1 bread slice with processed cheese and second slice of bread.', 'Spread sandwich with margarine.', 'Cook in skillet on medium heat until lightly browned on both sides.', 'Makes 1 sandwich.']","['margarine', 'bread', 'cheese']",3,0
Tomatoes With Honey And Black Pepper,"['1 large tomato, peeled', 'honey', 'salt and pepper']","['To make this salad, peel a large tomato, cut it into slices and spread each slice with honey.', 'Sprinkle the slices with salt and pepper, then reassemble the tomato.', 'Brush with more honey and give a sprinkle with salt and pepper.', 'Refrigerate for 20 minutes. Serve cool.']","['tomato', 'honey', 'salt']",3,0
Cinnamon Rolls,['Yeast Rolls dough'],"['Divide dough and roll out on floured table until 1/4 inch in depth.', 'Spread with melted butter, Land of Lakes is best, and sprinkle brown sugar and cinnamon to cover.', 'Roll dough up and cut into 3/4 inch slices or larger if desired.', 'Place on a buttered pan, butter tops and let rise until doubled.', 'Bake at 400 degrees for 10 minutes, or golden brown.', 'Take out immediately and invert on another pan.']",['yeast'],1,0
Cracker Candy,"['24 single saltine crackers, crushed', '6 Tbsp. peanut butter', '2 c. sugar', '2/3 c. evaporated milk']","['Crush crackers; boil sugar and mix exactly 4 minutes.', 'Remove from heat immediately and quickly stir in crackers and peanut butter.', 'Drop by spoonfuls on wax paper.', 'Allow to cool and enjoy.']","['crackers', 'peanut butter', 'sugar', 'milk']",4,0
1 - 2 - 3 Chocolate Sauce,"['3 sq. Chocolate', '2 c. Sugar', '1 can Evaporated Milk', 'Pinch Salt']","['Mix and bring to a boil, stirring constantly.', 'Let it boil 1 minute, then add 1 teaspoon vanilla.', 'Mix well for 1 minute. Serve warm.']","['salt', 'sugar', 'chocolate', 'milk']",4,0
Skippy Quick Cookies,"['1 c. Skippy peanut butter', '1 c. sugar', '1 egg, slightly beaten', '1 tsp. vanilla']","['Preheat oven to 325°.', 'In medium bowl, combine ingredients; stir making a dough.', 'Shape dough into 1-inch balls.', 'Put on ungreased cookie sheet.', 'Place 2-inches apart and with a fork, gently flatten each cookie making crisscross pattern on each cookie.', 'Bake 8 minutes or until lightly brown and slightly puffed.', 'May be topped immediately with sprinkles, chocolate chips or Hershey Kisses if desired.', 'Cool on rack completely.']","['vanilla', 'egg', 'peanut butter', 'sugar']",4,0
Broiled Salmon Steaks,"['2 fresh salmon steaks', 'garlic salt', 'one lime']","['Buy two salmon steaks from the fresh seafood section of the supermarket.', 'Rinse with cold water and pat dry.', 'Preheat broiler (if using Jenn-Air, spray grill with Pam).', 'Lightly sprinkle both sides with garlic salt and fresh lime 15 minutes before cooking. Use more lime during cooking to prevent drying.', 'Turn twice at least.', 'Broil for a total of 10 to 12 minutes.']","['lime', 'salmon', 'garlic']",3,0
Miracle Peanut Butter Cookies,"['1 c. peanut butter', '1 c. sugar', '1 egg, well beaten', '1 tsp. vanilla']","['Form into balls and press down with fork.', 'Bake at 350° for 10 to 12 minutes.']","['vanilla', 'egg', 'peanut butter', 'sugar']",4,0
Peanut Butter Toast,"['2 slices bread', 'peanut butter']","['Toast bread in toaster.', 'As soon as it pops up, spread peanut butter on one side of each slice.', 'The peanut butter will melt slightly on the warm toast.', 'Cut it diagonally.', 'Great as a breakfast food or a snack.']","['bread', 'peanut butter']",2,0
Microwave Parched Peanuts,['Peanut in shell'],"['Put a thin to medium layer of peanuts in a microwaveable dish.', 'Set heat on highest setting and run for about 2 minutes. Take out of microwave (use an oven mitt or small towel to keep from getting burned).', 'Stir peanuts very good and put back and run for 1 more minute.', 'Remove and stir again.', 'Then run for 1 more minute.', 'You can sample peanuts at various times and get the stage of parched peanuts you like best.', 'You may want to run for extra time if desired.', 'Peanuts will continue to cook some after removing from the microwave.', 'Cooking time 4 to 5 minutes.']",['peanut'],1,0
Olmstead Manor'S Peanut Butter Spread,"['5 lb. peanut butter', '2 lb. butter', '1 c. honey']","['Blend all together very well.', 'Needs to be refrigerated, but tastes better at room temperature.', 'Can be used on bread, crackers or carrot sticks.']","['honey', 'peanut butter', 'butter']",3,0
Easy Peanut Butter Cookies,"['1 c. peanut butter', '1 egg', '1 c. sugar']","['Mix all ingredients.', 'Cook at 350° for 10 minutes.']","['egg', 'peanut butter', 'sugar']",3,0
Caramel Dumplings,"['1 1/2 c. sugar', '2 Tbsp. butter']","['Melt butter and 1/2 cup sugar.', 'Brown.', ""Keep stirring so it won't burn."", 'Add 1 cup sugar and 2 cups hot water.']","['sugar', 'butter']",2,0
I Can'T Believe It'S A Cookie,"['1 c. peanut butter', '1 egg', '1 c. sugar']","['Roll tablespoon of dough in a ball.', 'Dip fork in sugar and press to flatten cookie.', 'Bake at 350° until light brown.']","['egg', 'peanut butter', 'sugar']",3,0
Easy Ice Cream,"['1 c. half and half milk', '2 Tbsp. sugar', '1/2 tsp. vanilla']","['In a pint-sized Ziploc bag, put milk, sugar and vanilla in bag. Mix well.']","['sugar', 'vanilla', 'milk']",3,0
Butter Pecan Dessert,"['20 Ritz crackers', '1/2 stick butter']",['Crush Ritz crackers. Melt butter and mix with crumbs in a 13 x 9 pan.'],"['crackers', 'butter']",2,0
Framed Eggs,"['1 slice bread', '1 egg', 'butter']","['Butter skillet.', 'Cut hole in center of bread with a glass. Cook separately in skillet.', 'When golden brown, turn over.', 'Take one egg and scramble in bowl.', 'Pour egg in hole of bread.', 'Cover hole of bread with center of bread.', 'Cook until egg is done. Makes 1 serving.']","['bread', 'egg', 'butter']",3,0
Peanut Butter Fudge Frosting,"['2 c. sugar', '1 c. milk', 'dash of salt', '4 Tbsp. peanut butter', '2 Tbsp. butter', '1 Tbsp. vanilla', '1/2 c. coconut', '1/4 c. chopped nuts']","['Cook over medium heat the sugar, milk and salt to soft ball stage.', 'Remove from heat.', 'Stir in peanut butter, butter, vanilla, coconut and chopped nuts.', 'Wait 5 minutes.', 'Beat with spoon until spreading consistency.', 'Spread over 9 x 13-inch pan.']","['sugar', 'vanilla', 'peanut butter', 'nuts', 'coconut', 'milk', 'butter', 'salt']",8,0
Mammy'S Chicken And Dumplings,"['1 whole chicken, cut up']","['Wash chicken very good.', 'Put whole chicken in large roaster with water covering chicken.', 'Put 1/2 stick butter on top of chicken and cook until tender.', 'Remove chicken to pan to be browned under broiler before serving.']",['chicken'],1,0
Quay'S Tea Cakes,"['1 stick butter', '1 egg', '1 c. sugar', '1 tsp. vanilla']","['Make real stiff with flour.', 'Drop on lightly greased cookie sheet and mash with fork.', 'Bake at 350° for 5 to 8 minutes.']","['vanilla', 'egg', 'sugar', 'butter']",4,0
English Toffee,"['2 c. sugar', '1 lb. butter']","['Put sugar and butter in a heavy pan and cook, stirring until it turns the color of brown paper bag.', 'Pour on buttered surface and melt chocolate bars on top.', 'Sprinkle on chopped nuts.']","['sugar', 'butter']",2,0
Mystery Drops,"['2 c. sugar', '32 saltine crackers, crushed', '7 Tbsp. peanut butter', '2/3 c. milk', '1 tsp. vanilla']","['Boil sugar and milk 3 minutes.', 'Remove from heat.', 'Stir in other ingredients.', 'Stir until thickened.', 'Drop on wax paper.']","['sugar', 'vanilla', 'crackers', 'peanut butter', 'milk']",5,0
B~B~Q Tomato,"['1 whole tomato', '1 stick butter']",['Cut 1/2 way in the tomato in several spots. Wrap in aluminum foil. Cut butter and place in foil also. Wrap good and cook until tender.'],"['tomato', 'butter']",2,0
Lemon Chicken,"['2 1/2 to 3 lb. chicken', '1 tsp. salt', '1/4 tsp. pepper', '1 lemon']","['Put chicken in a shallow pan.', 'Sprinkle salt and pepper on top.', 'Inset lemon in cavity.', 'Bake, breast up, at 350° for 1 hour, breast down at 350° for 1/2 hour and breast up at 400° for 1/2 hour.']","['lemon', 'chicken', 'pepper', 'salt']",4,0
Caramel Frosting,"['2 sticks butter', '2 c. sugar', '1 c. milk']","['Let butter melt; add sugar and brown.', 'Add milk and bring to a soft ball stage on candy thermometer.', 'Remove from heat and beat with mixer until of spreading consistency.', 'Spread on cake.', 'Makes enough to frost 2 (9-inch) layers.']","['sugar', 'butter', 'milk']",3,0
Calorie On A Ritz,"['1 stick ""real"" butter', '1 stick margarine', '1/2 c. sugar', '40 Ritz crackers', 'chopped nuts']","['Mix first three ingredients.', 'Let come to a boil.', 'Boil hard for three minutes.', 'Have Ritz crackers placed on a cookie sheet. Pour mixture over crackers.', 'Take a spoon and make sure mixture is spread well on crackers.', 'Put chopped nuts on top of crackers. (Nuts are to be chopped fine.) Put in a 300° oven and bake 10 minutes (preheat oven).', 'Remove from oven and place on aluminum foil until cool.']","['sugar', 'crackers', 'nuts', 'margarine', 'butter']",5,0
Auline'S Icing,"['2 c. sugar', '1 1/2 sticks butter', '1 1/2 c. evaporated milk', '1 c. chopped nuts', '1 c. coconut']","['Boil sugar, butter and milk until thick.', 'It will get bubbly and change colors when thick.', 'Add nuts and coconut; stir well.']","['sugar', 'nuts', 'coconut', 'milk', 'butter']",5,0
